x,y
2542215.047,1178878.655
2542247.326,1178898.499
2542278.547,1178919.401
2542300.243,1178933.953
2542331.464,1178955.913
2542389.891,1178998.597
2542413.755,1179016.553
2542441.162,1179037.134
2542466.804,1179057.167
2542493.708,1179077.773
2542520.696,1179099.044
2542547.872,1179120.640
2542573.718,1179141.429
2542611.341,1179172.067
2542662.141,1179213.023
2542699.989,1179243.714
2542729.887,1179267.791
2542749.862,1179283.930
2542796.429,1179320.441
2542828.910,1179345.404
2542849.783,1179361.688
2542863.476,1179372.005
2542875.646,1179381.000
2542890.425,1179391.972
2542915.924,1179410.761
2542945.628,1179432.087
2542969.029,1179448.760
2542985.644,1179460.401
2543004.479,1179473.215
2543019.461,1179483.232
2543036.747,1179495.400
2543054.779,1179507.507
2543076.995,1179521.759
2543089.894,1179530.192
2543104.899,1179539.581
2543274.959,1179643.669
2543288.366,1179651.147
2543308.920,1179662.568
2543329.580,1179674.207
2543356.101,1179688.585
2543376.519,1179699.651
2543397.409,1179710.537
2543424.979,1179725.531
2543449.841,1179738.192
2543471.550,1179749.349
2543490.307,1179758.866
2543494.406,1179760.994
2543516.263,1179772.114
2543537.880,1179783.014
2543563.996,1179796.189
2543592.729,1179810.793
2543624.779,1179827.183
2543647.455,1179838.816
2543670.977,1179850.673
2543695.897,1179863.219
2543709.111,1179870.196
2543714.304,1179872.605
2543730.974,1179881.016
2543752.907,1179892.392
2543775.653,1179904.044
2543791.400,1179912.088
2543806.053,1179919.609
2543826.863,1179930.057
2543848.582,1179941.075
2543869.318,1179951.774
2543890.131,1179962.273
2543917.392,1179976.170
2543951.905,1179993.765
2543990.987,1180014.089
2544030.289,1180034.527
2544071.705,1180056.641
2544108.583,1180077.159
2544138.403,1180093.869
2544170.219,1180111.813
2544221.851,1180141.830
2544311.437,1180196.250
2544380.917,1180239.694
2544433.771,1180273.951
2544469.725,1180297.490
2544502.442,1180319.529
2544540.990,1180345.633
2544574.077,1180368.372
2544594.013,1180382.464
2544621.529,1180401.963
2544665.768,1180434.772
2544713.182,1180469.485
2544755.727,1180499.753
2544810.525,1180536.907
2544841.675,1180556.472
2544879.445,1180579.741
2544909.608,1180597.336
2544940.089,1180614.411
2544976.549,1180633.981
2545009.357,1180650.915
2545042.615,1180666.666
2545075.239,1180682.136
2545102.889,1180694.305
2545138.741,1180709.783
2545174.592,1180723.938
2545212.162,1180738.227
2545225.707,1180743.263
2545242.385,1180749.235
2545264.303,1180756.926
2545287.851,1180765.229
2545308.160,1180772.298
2545326.955,1180778.825
2545344.235,1180785.035
2545362.852,1180791.757
2545377.911,1180797.699
2545394.555,1180804.125
2545409.640,1180810.223
2545426.079,1180817.151
2545442.810,1180824.474
2545455.422,1180830.233
2545459.522,1180831.688
2545485.766,1180844.487
2545510.138,1180857.230
2545525.935,1180865.730
2545545.373,1180877.069
2545570.969,1180892.829
2545595.744,1180909.007
2545613.844,1180921.551
2545628.943,1180932.483
2545646.706,1180946.290
2545658.615,1180955.480
2545671.443,1180965.688
2545686.234,1180978.166
2545704.208,1180994.080
2545720.717,1181009.979
2545738.624,1181027.298
2545752.262,1181041.129
2545766.739,1181055.849
2545779.226,1181069.073
2545796.795,1181087.983
2545816.865,1181110.365
2545838.031,1181134.840
2545866.606,1181167.118
2545894.255,1181198.868
2545916.482,1181223.761
2545938.705,1181247.420
2545958.075,1181267.999
2545986.438,1181296.045
2546010.463,1181318.270
2546038.982,1181342.405
2546066.025,1181364.427
2546090.499,1181382.815
2546116.346,1181400.746
2546145.030,1181419.500
2546173.287,1181436.433
2546199.958,1181451.568
2546219.875,1181461.979
2546231.068,1181467.554
2546238.296,1181471.305
2546264.301,1181483.561
2546293.008,1181495.996
2546325.128,1181508.696
2546362.123,1181521.687
2546369.744,1181524.094
2546385.361,1181529.228
2546403.122,1181534.512
2546421.781,1181539.602
2546445.679,1181545.381
2546475.067,1181551.899
2546499.666,1181556.655
2546527.107,1181561.611
2546545.968,1181564.511
2546569.270,1181567.708
2546606.492,1181572.628
2546641.271,1181576.523
2546676.775,1181580.748
2546711.953,1181584.596
2546741.641,1181588.191
2546766.390,1181591.294
2546800.596,1181596.132
2546820.740,1181599.411
2546850.986,1181604.618
2546877.215,1181610.688
2546910.359,1181618.480
2546944.984,1181628.024
2546967.305,1181635.317
2546993.609,1181644.352
2547019.007,1181653.802
2547047.641,1181665.369
2547084.448,1181681.888
2547112.754,1181695.972
2547139.878,1181710.301
2547164.524,1181724.671
2547174.327,1181730.523
2547191.750,1181741.333
2547212.388,1181754.351
2547228.930,1181765.599
2547251.599,1181781.338
2547281.425,1181803.199
2547302.899,1181819.266
2547324.039,1181835.167
2547358.914,1181862.777
2547399.666,1181894.622
2547411.446,1181903.722
2547460.017,1181940.830
2547496.989,1181968.370
2547513.296,1181979.803
2547531.232,1181992.376
2547552.284,1182006.553
2547603.696,1182040.625
2547654.534,1182071.693
2547696.978,1182097.262
2547735.474,1182119.091
2547782.635,1182145.076
2547814.315,1182161.254
2547843.705,1182176.148
2547878.874,1182193.284
2547914.565,1182210.633
2547954.297,1182228.566
2547983.644,1182240.998
2547989.880,1182243.657
2548021.052,1182256.167
2548038.352,1182263.057
2548049.627,1182267.252
2548065.940,1182273.476
2548113.163,1182291.095
2548143.458,1182302.248
2548166.742,1182310.054
2548200.476,1182321.563
2548243.469,1182335.806
2548288.183,1182350.357
2548313.067,1182358.135
2548335.755,1182364.960
2548419.721,1182390.370
2548453.218,1182399.580
2548527.711,1182422.683
2548581.351,1182439.703
2548663.182,1182466.889
2548745.655,1182495.578
2548795.558,1182515.143
2548852.293,1182538.356
2548913.709,1182565.106
2548959.049,1182586.704
2549041.997,1182627.390
2549149.877,1182684.682
2549234.616,1182731.503
2549341.596,1182791.503
2549438.281,1182845.836
2549530.725,1182896.862
2549619.684,1182947.414
2549759.708,1183025.208
2549833.460,1183066.913
2549920.349,1183114.754
2550114.249,1183224.265
2550282.314,1183317.928
2550456.954,1183415.867
2550610.681,1183502.216
2550705.490,1183555.767
2550789.374,1183603.641
2550854.291,1183642.171
2550911.584,1183676.880
2550955.774,1183704.155
2551027.689,1183750.076
2551049.545,1183764.769
2551113.098,1183807.330
2551176.628,1183851.594
2551202.531,1183869.643
2551312.218,1183949.468
2551392.724,1184011.610
2551495.979,1184095.166
2551525.477,1184119.536
2551544.027,1184135.171
2551554.736,1184144.057
2551569.882,1184156.999
2551640.824,1184218.852
2551649.588,1184227.081
2551684.690,1184258.906
2551723.979,1184294.527
2551780.387,1184347.698
2551833.900,1184399.664
2551886.628,1184452.400
2551943.722,1184511.158
2552004.215,1184575.532
2552057.021,1184633.597
2552105.047,1184687.930
2552161.692,1184754.086
2552216.959,1184820.855
2552224.260,1184830.370
2552260.338,1184874.720
2552308.175,1184935.485
2552353.196,1184993.531
2552401.145,1185055.698
2552444.396,1185111.855
2552491.170,1185172.124
2552534.643,1185228.076
2552586.407,1185291.623
2552637.129,1185352.636
2552663.082,1185382.958
2552693.725,1185417.935
2552736.818,1185465.697
2552790.661,1185522.079
2552835.051,1185566.245
2552858.326,1185588.704
2552866.104,1185596.088
2552883.175,1185611.572
2552921.574,1185645.635
2552986.609,1185699.267
2553004.417,1185713.953
2553047.198,1185746.947
2553070.763,1185764.161
2553117.321,1185798.328
2553176.315,1185837.777
2553245.351,1185880.453
2553310.417,1185916.937
2553366.003,1185947.370
2553412.518,1185970.388
2553454.763,1185989.842
2553540.295,1186026.960
2553587.146,1186045.472
2553628.339,1186061.389
2553672.047,1186077.133
2553724.802,1186095.228
2553749.044,1186103.574
2553777.406,1186113.212
2553835.563,1186131.197
2553903.984,1186152.310
2553979.709,1186175.250
2554028.440,1186189.025
2554051.574,1186195.565
2554109.174,1186212.189
2554205.644,1186240.162
2554294.663,1186266.229
2554360.394,1186286.149
2554414.261,1186303.520
2554522.588,1186339.975
2554597.183,1186367.768
2554676.659,1186399.595
2554679.878,1186400.816
2554721.019,1186418.561
2554759.992,1186435.786
2554798.947,1186453.614
2554871.570,1186488.939
2554951.366,1186530.720
2555047.536,1186585.053
